x                y                z              
-2.21845169E+01 -3.75279198E+01 -1.93052173E-01
 1.74371946E+00 -2.37038541E+00  6.49139583E-01
-1.59396365E-01  9.79942560E-01  1.00835003E-01
-1.69295287E+00  1.95572245E+00 -1.93640143E-01
-1.82305450E+01  1.88307991E+01 -9.94837657E-02
-3.17666605E-02 -1.77552736E+00  1.43238083E-01
-1.35409641E+00 -2.31056309E+00 -8.14022124E-02
-4.79240000E-01  3.58072948E+00  7.28325963E-01
-7.24146557E+00  1.32084551E+01 -1.53761074E-01
 2.05108333E+00  2.97365475E+00 -7.15743676E-02
 7.99540803E-02  2.95045233E+00  4.25772853E-02
-2.44310284E+00 -4.33250427E+00 -2.63053507E-01
-3.26742709E-01 -4.49488580E-01 -3.86246294E-01
 3.88822174E+00 -1.31577706E+00 -4.02227223E-01
 1.61929870E+00  9.03621018E-01 -1.07737504E-01
 6.22996807E-01  5.99251699E+00  1.36924624E-01
-4.91422701E+00  1.91242898E+00 -2.05806762E-01
 3.87207108E+01 -1.14888763E+00  1.80193812E-01
-2.83419819E+01  6.00281239E+00 -2.61103902E-02
 4.39856682E+01  2.35034008E+01  1.31543383E-01
-1.05759239E+00  4.68041468E+00  3.52936774E-01
 2.83316278E+00  3.52333927E+00 -3.61307594E-03
 9.30637777E-01  1.74757302E+00  4.89086658E-02
-2.14077854E+00 -5.53400338E-01  9.16083306E-02
-7.47881603E+00 -2.49773574E+00 -7.78071731E-02
 3.44488382E+00  1.42225087E+00 -1.92035541E-01
-5.44740772E+00 -3.29924774E+00 -1.44266874E-01
-9.01899910E+00 -1.66402054E+00  5.76766133E-02
 4.77826357E+00  8.70388317E+00  2.63883471E-01
 6.56891644E-01 -7.49418318E-01  4.40744132E-01
-1.09155655E+00 -1.65633750E+00 -2.13071615E-01
-1.60204381E-01 -1.04169175E-01 -1.18961334E-01
 1.96552539E+00 -3.78882003E+00 -1.84445698E-02
-3.64001513E+00 -8.75625801E+00  7.23680407E-02
 3.28905220E+01 -5.32329321E+00  2.03725789E-02
 1.29744301E+01  4.40200120E-01  4.31661934E-01
-3.12195516E+00 -7.65396506E-02 -7.73554370E-02
-1.28455365E+00 -2.39796907E-01  8.59522000E-02
-6.01297474E+00 -1.35615993E+00 -1.91079900E-01
 2.19549370E+00 -2.01405087E+01  2.37063631E-01
 7.24780679E-01  1.92588723E+00  6.88656420E-02
-3.46599579E+00  9.05273616E-01  1.48935512E-01
 3.64359617E+00 -2.03053875E+01  1.60502285E-01
-1.89651966E+01  6.67059469E+00 -1.79604828E-01
-2.45058107E+00  9.97740746E+00 -3.84438604E-01
 1.54600019E+01 -2.10127735E+00 -3.32536362E-02
 1.24816048E+00  4.48531389E+00  4.92260642E-02
-4.06106472E+00  4.33910310E-01 -2.81436592E-01
-9.72721291E+00 -2.31077865E-01  9.77700055E-02
 1.18058944E+00 -3.15664887E+00  2.13729739E-01
 1.56897712E+00  1.24559250E+01  4.48528081E-02
-6.93190575E-01 -8.86479020E-01 -1.26199156E-01
 6.74426365E+00 -5.65962601E+00 -4.61423323E-02
 3.04945540E+00 -5.96322775E-01 -5.11853337E-01
 3.68818074E-01  3.38678449E-01  3.29397947E-01
-1.95962799E+00 -2.41781926E+00 -2.39140898E-01
 2.25436163E+00  2.82370520E+00  1.33170694E-01
-2.29951239E+00  4.16983461E+00 -4.99753237E-01
 8.54864597E+00 -1.35898905E+01  1.30253196E-01
 2.94043040E+00  5.24927187E+00  6.53099939E-02
-1.49492226E+01 -3.71511197E+00  7.08989501E-01
 6.16229343E+00  6.17775249E+00 -2.41567567E-02
-1.65783226E-01 -3.23748636E+00  3.55663121E-01
 5.95887423E+00  1.08681858E+00 -6.12150785E-03
 2.22064247E+01  7.08165550E+00  4.64832932E-01
 4.59805107E+00  1.67424357E+00  2.31435880E-01
-6.29784346E+00  3.48366451E+00  2.94631235E-02
-4.39978033E-01 -4.62620115E+00  3.43099892E-01
 3.14992023E+00 -8.97522640E+00  2.81132281E-01
 5.34487963E+00  9.91903973E+00 -1.82317287E-01
-6.17837906E-01  4.42620307E-01 -1.43689543E-01
-2.08055449E+00  1.21329570E+00 -2.57713031E-02
 1.01355886E+00  7.94775069E-01  4.08213019E-01
-6.15920365E-01 -1.51288474E+00  2.45972827E-01
 2.26628095E-01  7.54753426E-02 -2.47756429E-02
-4.24342901E-01  7.10720682E+00  1.39266387E-01
 2.23316650E+01 -5.26814520E-01 -1.42054319E-01
 2.34771752E+00 -2.01933169E+00  5.70848100E-02
-2.59695220E+00 -1.38793755E+00 -3.15932840E-01
 3.29781151E+01 -2.05392056E+01 -4.89103794E-01
-1.60031652E+00  2.63345051E+00  4.66752350E-02
-1.23403130E+01 -3.35418930E+01 -3.27666290E-02
-4.90736771E+00 -8.89267385E-01 -3.26634735E-01
-1.46167221E+01  7.26176023E+00 -4.83892895E-02
-1.43694437E+00 -4.56102252E-01  1.04368597E-01
-3.03520489E+00  1.72462773E+00 -1.95586547E-01
-9.03934181E-01 -1.43096912E+00  1.02258854E-01
-1.16031957E+00  1.21536613E+00 -5.47049083E-02
 5.06391048E+00 -6.78081274E+00  7.87317753E-02
 4.07357597E+00  3.15723395E+00  5.11969663E-02
-6.93770504E+00  3.38272333E+00  4.96746927E-01
 3.05316424E+00 -1.86058693E+01 -7.50781775E-01
-3.53598690E+00 -1.69595182E+00 -1.75736338E-01
