          x           y           z           id          
   0.5306475   0.8828942   0.8335179           0
   0.5335125   0.8890044   0.8261914           0
   0.5314120   0.8835645   0.8334940           0
   0.5307475   0.8822547   0.8349773           0
   0.5299435   0.8907166   0.8276271           0
   0.5313630   0.8826983   0.8344649           0
   0.5320885   0.8843273   0.8335870           0
   0.5308657   0.8825466   0.8345269           0
   0.5311294   0.8830021   0.8340849           0
   0.5322465   0.8848000   0.8336064           0
   0.5314708   0.8836596   0.8342747           0
   0.5339265   0.8923681   0.8246430           0
   0.5328775   0.8861817   0.8333977           0
   0.5314263   0.8830858   0.8339920           0
   0.5313355   0.8830096   0.8338970           0
   0.5299028   0.8824363   0.8334071           0
   0.5316201   0.8837391   0.8339490           0
   0.5308269   0.8832941   0.8334014           0
   0.5305332   0.8824726   0.8348008           0
   0.5312894   0.8839621   0.8329057           0
   0.5319413   0.8841176   0.8336133           0
   0.5311129   0.8835274   0.8337892           0
   0.5316512   0.8844188   0.8339511           0
   0.5329271   0.8870681   0.8322353           0
   0.5309391   0.8817089   0.8342431           0
   0.5292136   0.8823490   0.8326753           0
   0.5297868   0.8840293   0.8331512           0
   0.5313817   0.8821758   0.8343794           0
   0.5304984   0.8812427   0.8346473           0
   0.5296966   0.8802074   0.8298404           0
   0.5323065   0.8861226   0.8335538           0
   0.5310869   0.8828517   0.8343418           0
   0.5307905   0.8825003   0.8346866           0
   0.5300696   0.8825949   0.8336687           0
   0.5318440   0.8834475   0.8299718           0
   0.5312947   0.8844471   0.8320790           0
   0.5324562   0.8847276   0.8332052           0
   0.5304472   0.8859134   0.8328266           0
   0.5308025   0.8858531   0.8332599           0
   0.5294929   0.8841760   0.8307730           0
   0.5310353   0.8855912   0.8333343           0
   0.5314290   0.8853334   0.8319936           0
   0.5316483   0.8810972   0.8351140           0
   0.5315309   0.8846731   0.8330027           0
   0.5298400   0.8812520   0.8291054           0
   0.5278767   0.8825214   0.8298086           0
   0.5312701   0.8850765   0.8310181           0
   0.5325717   0.8844750   0.8324471           0
   0.5308407   0.8860793   0.8343113           0
   0.5310453   0.8826297   0.8296052           0
   0.5297712   0.8887951   0.8286025           0
   0.5308055   0.8834693   0.8314415           0
   0.5336850   0.8858608   0.8326878           0
   0.5327007   0.8886947   0.8308238           0
   0.5326413   0.8869543   0.8334592           0
   0.5314875   0.8842954   0.8324065           0
   0.5319688   0.8859154   0.8341423           0
   0.5313498   0.8835750   0.8317326           0
   0.5312319   0.8851204   0.8315942           0
   0.5275010   0.8826337   0.8366508           0
   0.5327417   0.8845982   0.8311369           0
   0.5309086   0.8901175   0.8329251           0
   0.5324127   0.8854556   0.8315153           0
   0.5303002   0.8836589   0.8315908           0
   0.5327684   0.8841494   0.8328777           0
   0.5314417   0.8852373   0.8319107           0
   0.5324504   0.8853684   0.8333743           0
   0.5312172   0.8853383   0.8317431           0
   0.5327545   0.8839398   0.8330755           0
   0.5309942   0.8861815   0.8316977           0
   0.5316964   0.8868294   0.8319089           0
   0.5305665   0.8875679   0.8310296           0
   0.5301019   0.8832476   0.8318699           0
   0.5307941   0.8852041   0.8307177           0
   0.5312202   0.8842672   0.8320299           0
   0.5330705   0.8855286   0.8337068           0
   0.5327080   0.8846065   0.8315924           0
   0.5317885   0.8866331   0.8319272           0
   0.5321710   0.8851619   0.8321417           0
   0.5346517   0.8865169   0.8330809           0
   0.5314597   0.8851455   0.8319367           0
   0.5319665   0.8855297   0.8322431           0
   0.5323777   0.8894374   0.8328010           0
   0.5296175   0.8819982   0.8304872           0
   0.5325050   0.8848378   0.8347407           0
   0.5321845   0.8835087   0.8326341           0
   0.5305353   0.8861472   0.8319843           0
   0.5318346   0.8859395   0.8323598           0
   0.5315949   0.8851738   0.8324690           0
   0.5318511   0.8872146   0.8368638           0
   0.5308944   0.8834310   0.8291486           0
   0.5316995   0.8853570   0.8322625           0
   0.5331022   0.8873045   0.8326854           0
   0.5291428   0.8808115   0.8316093           0
   0.5315837   0.8851232   0.8333615           0
   0.5319486   0.8866923   0.8333935           0
   0.5282984   0.8827684   0.8342560           0
   0.5290729   0.8849847   0.8249124           0
   0.5336416   0.8842648   0.8319545           0
   0.5299421   0.8837476   0.8340331           0
   0.5294390   0.8816494   0.8318651           0
   0.5323388   0.8849468   0.8318835           0
   0.5318716   0.8845160   0.8316830           0
   0.5320984   0.8855959   0.8324965           0
   0.5316403   0.8844269   0.8325257           0
   0.5325285   0.8866364   0.8314735           0
   0.5310006   0.8845608   0.8312427           0
   0.5282046   0.8826326   0.8353410           0
   0.5288817   0.8840201   0.8340707           0
   0.5335375   0.8880839   0.8338527           0
   0.5319864   0.8851565   0.8326987           0
   0.5318575   0.8853252   0.8315449           0
   0.5324489   0.8869522   0.8329764           0
   0.5321349   0.8854139   0.8322266           0
   0.5325001   0.8860257   0.8322114           0
   0.5320062   0.8857238   0.8326557           0
   0.5318635   0.8852213   0.8322094           0
   0.5322015   0.8868196   0.8311763           0
   0.5318777   0.8852925   0.8324554           0
   0.5286446   0.8799146   0.8300099           0
   0.5316581   0.8841404   0.8329615           0
   0.5304689   0.8826332   0.8288898           0
   0.5301886   0.8839092   0.8310234           0
   0.5316343   0.8848213   0.8318690           0
   0.5337203   0.8868109   0.8335775           0
   0.5278347   0.8788333   0.8304735           0
   0.5318031   0.8852279   0.8328975           0
   0.5309638   0.8829583   0.8316453           0
   0.5304308   0.8821962   0.8303451           0
   0.5318106   0.8846926   0.8312515           0
   0.5316853   0.8847146   0.8324472           0
   0.5297053   0.8819399   0.8338475           0
   0.5331581   0.8856998   0.8348249           0
   0.5324945   0.8864554   0.8316304           0
   0.5309492   0.8865585   0.8321189           0
   0.5321568   0.8905458   0.8313124           0
   0.5321483   0.8854124   0.8322230           0
   0.5318131   0.8857083   0.8313784           0
   0.5316543   0.8851540   0.8315025           0
   0.5317433   0.8851021   0.8322261           0
   0.5314040   0.8867896   0.8329051           0
   0.5268661   0.8830291   0.8347223           0
   0.5315550   0.8856039   0.8323727           0
   0.5311495   0.8854021   0.8315269           0
   0.5304998   0.8894469   0.8251799           0
   0.5312025   0.8898143   0.8242876           0
   0.5298370   0.8897695   0.8235982           0
   0.5298847   0.8883452   0.8257471           0
   0.5301541   0.8907049   0.8228742           0
   0.5299656   0.8901707   0.8249385           0
   0.5301204   0.8894246   0.8232919           0
   0.5297149   0.8903412   0.8224379           0
   0.5303700   0.8884788   0.8259080           0
   0.5324844   0.8866560   0.8311801           0
   0.5303015   0.8882562   0.8259989           0
   0.5303287   0.8888059   0.8258414           0
   0.5310988   0.8868678   0.8350830           0
   0.5294164   0.8892841   0.8242997           0
   0.5302867   0.8893129   0.8232440           0
   0.5238125   0.8900370   0.8290212           0
   0.5317795   0.8774045   0.8343261           0
   0.5294184   0.8897152   0.8233122           0
   0.5324810   0.8913058   0.8262957           0
   0.5300416   0.8894515   0.8231217           0
   0.5276698   0.8886757   0.8245363           0
   0.5275729   0.8879850   0.8251362           0
   0.5286435   0.8900237   0.8250059           0
   0.5329419   0.8905938   0.8274297           0
   0.5288262   0.8898096   0.8257424           0
   0.5319862   0.8854565   0.8323971           0
   0.5316147   0.8845969   0.8335391           0
   0.5303413   0.8815143   0.8319595           0
   0.5302112   0.8826621   0.8334667           0
   0.5317270   0.8857677   0.8321428           0
   0.5316719   0.8851576   0.8318396           0
   0.5311552   0.8853050   0.8325693           0
   0.5321344   0.8860161   0.8321514           0
   0.5314455   0.8854859   0.8316668           0
   0.5318238   0.8853753   0.8319730           0
   0.5314243   0.8853594   0.8317419           0
   0.5321529   0.8853383   0.8327717           0
   0.5323355   0.8852197   0.8331101           0
   0.5319538   0.8856566   0.8329468           0
   0.5319390   0.8857553   0.8318441           0
   0.5318957   0.8857980   0.8320336           0
   0.5315918   0.8849972   0.8321585           0
   0.5319422   0.8861127   0.8317809           0
   0.5319447   0.8844700   0.8330169           0
   0.5311073   0.8854490   0.8317374           0
   0.5319791   0.8851772   0.8323969           0
   0.5309825   0.8840588   0.8326964           0
   0.5323962   0.8858393   0.8329348           0
   0.5319172   0.8853426   0.8321323           0
   0.5319962   0.8858608   0.8331478           0
   0.5307198   0.8852788   0.8343943           0
   0.5314132   0.8852174   0.8322519           0
   0.5323819   0.8860289   0.8320949           0
   0.5320684   0.8853755   0.8329052           0
   0.5309460   0.8839419   0.8304932           0
   0.5319121   0.8859529   0.8320965           0
   0.5283629   0.8821643   0.8355995           0
   0.5320032   0.8820087   0.8346590           0
   0.5316886   0.8851853   0.8318720           0
   0.5323269   0.8857023   0.8320418           0
   0.5333022   0.8858436   0.8336522           0
