x                y                z              
 8.81776735E-02  1.95134476E-01  2.75525570E-01
-3.36176276E-01  1.14337039E+00 -5.35385489E-01
-1.53816676E+00 -1.68529832E+00  3.82783413E-01
 5.86588681E-01 -9.62803185E-01  3.82526129E-01
-1.17940165E-01  5.67344069E-01 -4.61193621E-01
-4.50159013E-01  1.28863668E+00 -5.13524143E-03
-7.51146436E-01 -4.13011074E-01  6.77153766E-02
-6.41648471E-01  6.37454987E-01 -4.44630474E-01
-1.41032621E-01  2.13822931E-01  1.23771258E-01
 5.20506799E-01  4.71972972E-02  6.07571304E-01
 2.36288831E-01 -3.76869947E-01  3.24576318E-01
-2.19379282E+00  1.13313365E+00  5.05988002E-02
 1.00463361E-01  9.99282822E-02  4.55676839E-02
 2.15923369E-01 -8.57922196E-01 -8.40772316E-02
-5.35538673E-01 -3.75567853E-01 -5.76467812E-01
-8.44966471E-01 -4.30323899E-01 -5.02297521E-01
 4.39057127E-02 -4.68703732E-02 -7.34770298E-02
-8.61253679E-01  8.27382982E-01  4.08357590E-01
-1.02520972E-01  5.83695546E-02  3.30730498E-01
-4.84500855E-01  1.03786004E+00  2.57151031E+00
-2.85540707E-02 -1.95910782E-01  5.92365377E-02
-1.97110713E-01 -1.36591053E+00  3.74848634E-01
 1.91966578E-01 -2.35469118E-01  5.72878718E-02
 2.33896941E-01 -9.09575820E-01  1.13043651E-01
 1.34305701E-01 -3.34714949E-01 -5.46190143E-01
 1.56882450E-01 -1.72776908E-01 -6.19719207E-01
 3.54009181E-01  6.96736634E-01 -1.11539876E+00
-1.27851799E-01 -1.36825979E-01  2.11522147E-01
 1.13031745E+00  8.22705150E-01  9.73165989E-01
-5.64538658E-01  7.30483711E-01  1.70342363E-02
-1.20030649E-01  4.57561046E-01 -1.10133551E-01
-3.28339487E-01  3.05771679E-01 -6.23801887E-01
-2.56641328E-01  3.16131443E-01 -4.07988846E-01
 4.46352184E-01 -1.22541763E-01  8.75150561E-01
-1.26081273E-01  1.44370407E-01  4.23545122E-01
 8.64320099E-01  1.98600233E-01  1.05439372E-01
 2.90983766E-01  6.54812574E-01  4.27349180E-01
 1.19859064E-02 -1.19257081E+00 -5.37558869E-02
 2.90363305E-03  1.33475974E-01  6.30852461E-01
 4.04973456E-04 -2.92196155E-01  9.76370037E-01
-3.23970228E-01  5.96935272E-01  2.71662384E-01
-3.85969669E-01  9.10818040E-01 -6.72611520E-02
-1.20957181E-01 -8.36428821E-01 -4.60515052E-01
 4.48087186E-01  3.78254831E-01  3.95572901E-01
-8.44275653E-02  1.72928602E-01  3.99507247E-02
-8.21678340E-01  1.68196452E+00 -4.80744720E-01
 2.16050759E-01 -1.04113853E+00 -1.27865565E+00
 2.54355401E-01 -7.05147302E-03  4.58110273E-02
 1.62170017E+00  1.00679481E+00  5.66923797E-01
-7.75463041E-03 -3.67586464E-02 -5.00106990E-01
-1.76595360E-01 -2.69818097E-01 -4.95757833E-02
-6.34163618E-04  8.25892329E-01 -4.16698158E-01
-1.06838614E-01 -6.26950935E-02  4.82101619E-01
-1.80216119E-01 -1.09530663E+00  7.60940194E-01
 1.55575857E-01  4.40557867E-01 -1.17206484E-01
-2.91085485E-02 -1.06656536E-01  8.40301588E-02
-1.14467531E-01  3.03012401E-01  1.87794641E-01
-9.04591009E-02 -4.03286874E-01  2.37686217E-01
 5.74128509E-01 -4.02427882E-01  4.26315457E-01
 8.64656985E-01 -4.76387441E-01 -1.75492883E-01
